Text version of loaded midi tracks
Midi events are: Cumulative-midi-time time status data1 data2 data2
Cumulative midi time starts with the first note-on event, if there is one.
The status byte is printed in hex.  All others are decimal integers.

Number of tracks: 1

Track 0: 2347 events (skipping sysex)
     30048     48 80  56  64   0
     30048      0 80  51  64   0
     30068     20 80  72  64   0
     30106     38 90  68  54   0
     30192     86 80  68  64   0
     30222     30 90  63  42   0
     30260     38 90  56  29   0
     30260      0 90  51  26   0
     30298     38 80  56  64   0
     30298      0 80  51  64   0
     30326     28 80  63  64   0
     30356     30 90  64  50   0
     30452     96 80  64  64   0
     30462     10 90  44  44   0
     30480     18 90  65  43   0
     30528     48 80  44  64   0
     30576     48 80  65  64   0
     30606     30 90  65  48   0
     30644     38 80  65  64   0
     30730     86 90  65  38   0
     30788     58 80  65  64   0
     30836     48 90  65  51   0
     30884     48 80  65  64   0
     30932     48 90  59  35   0
     30960     28 90  65  40   0
     30960      0 90  56  20   0
     30960      0 90  50  18   0
     30980     20 80  59  64   0
     30998     18 80  56  64   0
     30998      0 80  50  64   0
     31056     58 80  65  64   0
     31076     20 90  65  51   0
     31142     66 80  65  64   0
     31162     20 90  44  49   0
     31182     20 90  63  55   0
     31286    104 80  44  64   0
     31286      0 80  63  64   0
     31296     10 90  68  44   0
     31412    116 90  72  49   0
     31422     10 90  56  31   0
     31422      0 90  51  28   0
     31430      8 80  68  64   0
     31470     40 80  56  64   0
     31470      0 80  51  64   0
     31508     38 80  72  64   0
     31518     10 90  75  52   0
     31632    114 90  80  53   0
     31642     10 90  60  34   0
     31642      0 80  75  64   0
     31642      0 90  56  33   0
     31642      0 90  51  30   0
     31690     48 80  60  64   0
     31690      0 80  56  64   0
     31690      0 80  51  64   0
     31728     38 80  80  64   0
     31758     30 90  76  49   0
     31824     66 80  76  64   0
     31854     30 90  50  38   0
     31872     18 90  77  53   0
     31978    106 80  50  64   0
     31978      0 80  77  64   0
     31988     10 90  77  58   0
     32084     96 80  77  64   0
     32094     10 90  59  35   0
     32094      0 90  56  32   0
     32122     28 90  77  55   0
     32142     20 80  59  64   0
     32142      0 80  56  64   0
     32218     76 80  77  64   0
     32228     10 90  77  59   0
     32334    106 90  59  38   0
     32334      0 90  56  34   0
     32342      8 90  65  25   0
